8,19
8,15
7,97
7,71
7,68
8,03
7,96
7,66
7,76
8,02
8,33
8,42
8,47
8,43
7,03
5,88
5,75
5,17
4,59
4,37
4,25
4,23
4,31
4,09
4,00
3,99
3,51
3,16
2,89
2,74
2,87
2,71
3,13
3,75
3,34
2,61
3,38
3,97
4,17
4,33
4,62
5,13
5,07
4,66
4,47
4,43
4,24
3,99
3,42
2,25
1,33
0,77
0,19
0,02
0,29
0,45
1,24
2,80
4,00
4,20
4,68
4,56
4,62
3,92
2,58
1,39
0,96
1,25
1,18
1,18
1,35
1,31
1,17
1,57
2,04
2,36
2,71
2,60
2,47
2,01
2,20
2,59
2,91
3,14
3,51
3,70
3,75
3,69
3,49
3,16
3,10
3,10
2,83
1,93
1,18
0,86
1,52
1,61
1,58
1,86
1,78
1,07
0,67
0,58
1,01
3,32
4,57
3,97
3,93
3,51
3,44
3,09
2,70
2,51
2,67
2,92
3,08
3,20
3,25
3,30
3,45
3,40
3,07
3,05
3,22
2,98
2,89
2,76
2,36
3,17
4,67
5,13
5,20
5,37
5,40
5,36
5,11
4,98
4,62
4,54
4,43
4,27
4,00
3,88
3,89
3,92
3,68
3,73
3,77
3,43
3,58
3,76
3,97
4,38
4,87
5,38
5,83
6,01
5,82
5,58
5,38
5,26
5,06
4,89
4,31
3,52
2,70
2,40
1,31
0,71
-0,07
-0,92
-1,13
-1,35
-0,22
0,79
1,53
1,88
2,18
2,71
2,97
2,97
2,71
1,89
1,16
0,77
0,10
-0,39
0,41
0,90
0,85
0,68
1,34
1,62
1,78
2,79
3,63
3,37
2,95
3,06
2,89
3,00
3,60
3,93
4,40
4,83
4,78
4,67
4,21
3,78
3,32
2,99
2,19
2,14
2,92
3,18
